#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.930957E-01   0.312514E+05   0.190231E+05   0.276904E+02   0.276234E+02   0.000000E+00   0.293298E+05   0.293298E+05   0.293309E+05  -0.866689E-01   0.289483E+05   0.267448E+05   0.498843E+02
   0.102887E+00   0.274723E+05   0.155677E+05   0.197410E+02   0.196935E+02   0.000000E+00   0.256016E+05   0.256016E+05   0.256023E+05  -0.756503E-01   0.252978E+05   0.231669E+05   0.436501E+02
   0.113707E+00   0.244158E+05   0.149904E+05   0.145644E+02   0.145290E+02   0.000000E+00   0.229347E+05   0.229347E+05   0.229352E+05  -0.677685E-01   0.226016E+05   0.211266E+05   0.273389E+02
   0.125666E+00   0.219037E+05   0.154237E+05   0.109455E+02   0.109184E+02   0.000000E+00   0.208854E+05   0.208854E+05   0.208858E+05  -0.617119E-01   0.205061E+05   0.197130E+05   0.133018E+02
   0.138882E+00   0.194218E+05   0.139507E+05   0.796709E+01   0.794738E+01   0.000000E+00   0.185621E+05   0.185621E+05   0.185623E+05  -0.548463E-01   0.182225E+05   0.175140E+05   0.107517E+02
   0.153489E+00   0.168470E+05   0.106714E+05   0.553568E+01   0.552221E+01   0.000000E+00   0.158766E+05   0.158766E+05   0.158768E+05  -0.469110E-01   0.156436E+05   0.146158E+05   0.141132E+02
   0.169631E+00   0.146297E+05   0.878426E+04   0.390686E+01   0.389739E+01   0.000000E+00   0.137112E+05   0.137112E+05   0.137113E+05  -0.405125E-01   0.135217E+05   0.125520E+05   0.120482E+02
   0.187472E+00   0.129566E+05   0.882506E+04   0.289297E+01   0.288584E+01   0.000000E+00   0.123073E+05   0.123073E+05   0.123075E+05  -0.363643E-01   0.120947E+05   0.115348E+05   0.629416E+01
   0.207188E+00   0.113328E+05   0.772192E+04   0.207029E+01   0.206520E+01   0.000000E+00   0.107654E+05   0.107654E+05   0.107655E+05  -0.318082E-01   0.105831E+05   0.100591E+05   0.533039E+01
   0.228978E+00   0.974506E+04   0.605715E+04   0.143608E+01   0.143259E+01   0.000000E+00   0.916553E+04   0.916553E+04   0.916558E+04  -0.270810E-01   0.903094E+04   0.843422E+04   0.549237E+01
   0.253060E+00   0.853066E+04   0.573238E+04   0.104286E+01   0.104030E+01   0.000000E+00   0.809093E+04   0.809093E+04   0.809097E+04  -0.239058E-01   0.795448E+04   0.755800E+04   0.330203E+01
   0.279675E+00   0.737813E+04   0.482789E+04   0.734909E+00   0.733112E+00   0.000000E+00   0.697738E+04   0.697738E+04   0.697741E+04  -0.206156E-01   0.686586E+04   0.647581E+04   0.293932E+01
   0.309088E+00   0.636984E+04   0.415855E+04   0.519473E+00   0.518202E+00   0.000000E+00   0.602235E+04   0.602235E+04   0.602237E+04  -0.177938E-01   0.592538E+04   0.559504E+04   0.225251E+01
   0.341596E+00   0.550860E+04   0.362814E+04   0.368267E+00   0.367366E+00   0.000000E+00   0.521310E+04   0.521310E+04   0.521311E+04  -0.154027E-01   0.512846E+04   0.484639E+04   0.174031E+01
   0.377521E+00   0.474072E+04   0.311264E+04   0.259398E+00   0.258763E+00   0.000000E+00   0.448488E+04   0.448488E+04   0.448489E+04  -0.132511E-01   0.441205E+04   0.416980E+04   0.135241E+01
